"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"99999913782","2023-01-01T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0722","1725","","60","","","","","","0","10.2","5","64","55","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6424 HR MIN TEMP (F): 5524 HR AVG TEMP (F): 60DEPART FROM NORMAL:  8  HEATING DEGREE DAYS:  5 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-02T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0722","1725","","59","","","","","","0","9.3","6","65","52","","2237","0.01","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 6524 HR MIN TEMP (F): 5224 HR AVG TEMP (F): 59DEPART FROM NORMAL:  8  HEATING DEGREE DAYS:  6 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-03T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1726","","62","","","","","","0","12.3","3","72","51","","2237","0.01","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.01 24 HR MAX TEMP (F): 7224 HR MIN TEMP (F): 5124 HR AVG TEMP (F): 62DEPART FROM NORMAL: 11  HEATING DEGREE DAYS:  3 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-04T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1727","","65","","","","","","0","15.4","0","70","60","","2237","0.20","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.20 24 HR MAX TEMP (F): 7024 HR MIN TEMP (F): 6024 HR AVG TEMP (F): 65DEPART FROM NORMAL: 14  HEATING DEGREE DAYS:  0 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-05T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1728","","64","","","","","","0","14.4","1","71","56","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 7124 HR MIN TEMP (F): 5624 HR AVG TEMP (F): 64DEPART FROM NORMAL: 13  HEATING DEGREE DAYS:  1 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-06T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1729","","55","","","","","","0","5.5","10","62","48","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6224 HR MIN TEMP (F): 4824 HR AVG TEMP (F): 55DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 10 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-07T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1729","","55","","","","","","0","5.5","10","63","46","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6324 HR MIN TEMP (F): 4624 HR AVG TEMP (F): 55DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 10 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-08T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1730","","58","","","","","","0","8.5","7","65","50","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6524 HR MIN TEMP (F): 5024 HR AVG TEMP (F): 58DEPART FROM NORMAL:  7  HEATING DEGREE DAYS:  7 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-09T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1731","","55","","","","","","0","5.6","10","60","50","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6024 HR MIN TEMP (F): 5024 HR AVG TEMP (F): 55DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 10 COOLING DEGREE DAYS:  0","","","","","","","","","",""
"99999913782","2023-01-10T23:59:00","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","SOD  ","6","","","","","","","","","","","","","","","","","0723","1732","","56","","","","","","0","6.6","9","63","48","","2237","0.00","","","","2237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD16824 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 6324 HR MIN TEMP (F): 4824 HR AVG TEMP (F): 56DEPART FROM NORMAL:  5  HEATING DEGREE DAYS:  9 COOLING DEGREE DAYS:  0","","","","","","","","","",""
